artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
README-001,README.md,render_preview,concept,concept_only,,none,false,"L2 packet index and authority boundary statement; not dimensional authority."
DESIGN-001,design.md,design_table,design_table,pending_measurement,README.md,none,false,"Parametric intent records unknowns without supplying body dimensions, string data, bridge geometry, tuning, or harmonic positions."
BOM-001,bom.csv,measurement_template,measurement_template,pending_measurement,design.md,none,false,"Estimated BOM categories only; quantities and specifications remain TBD except the single primary string concept."
CUT-001,cut-list.csv,measurement_template,measurement_template,pending_measurement,design.md,none,false,"Planning cut-list for bench coupons and deferred full-body parts; no dimensions or cut authority."
SRC-001,sourcing.csv,sourcing,sourcing,pending_measurement,design.md,none,false,"Spec-first sourcing scaffold; every spec/price/lead-time is TBD pending string plan and reference review."
VAL-001,validation.csv,measurement_template,measurement_template,pending_measurement,design.md,none,false,"Buzz/sustain/harmonic/resonance validation gates; all targets qualitative and TBD pending bench-rig evidence."
RISK-001,risks.md,render_preview,concept,concept_only,design.md,none,false,"Concept-study risk register; qualitative, no reference dimensions."
DRW-001,drawing-brief.md,drawing,drawing_stub,concept_only,design.md,none,false,"First-drawing spec; all drawings deferred until reference/bench-rig authority exists."
SCAD-001,cad/tromba-marina.scad,cad_source,cad_authoring,pending_measurement,design.md,none,false,"GENERIC OpenSCAD envelope scaffold; every value is an explicit PLACEHOLDER (no reference dimension exists — design.md records only named unknowns). Renders clean (openscad -o STL exit 0). NOT fabrication authority; replace all placeholders from a reviewed reference before any CAD/shop work."
DEC-001,decision-record.md,render_preview,concept,concept_only,README.md,none,false,"Decision and open-question log; not fabrication authority."
PROV-001,cad/mcp-session-log.md,render_preview,concept,concept_only,README.md,none,false,"Provenance stub records qmd Step 0 and confirms no CAD or MCP session ran."
WL-STARTER-001,tromba-marina-starter.wl,design_table,design_table,reference_only,,none,false,"Wolfram source entry point authored by hand; computes no fabrication dimensions."
WL-MODEL-001,wolfram/tromba-marina-wolfram-model.wl,design_table,design_table,reference_only,tromba-marina-starter.wl,none,false,"Wolfram 14.3 parametric monochord/bridge-buzz model; all physical inputs are estimate placeholders pending measurement."
